λ,espec_0,espec_1,espec_2,espec_3,espec_4,espec_5,espec_6,espec_7,espec_8,espec_9
0.9752757739759498,-0.024484974072212402,239.4858774162579,-177.8318300406856,4694.785863312559,7395.4423325986645,-16558.897631374264,24060.43084451195,11560.860766864194,80806.05602910853,465612.99483744905
0.9762623714460654,-0.024388147855569992,238.89004549745977,-214.34968397285374,4666.580927704265,7456.3379237959125,-17973.519454495305,24333.469526659148,1981.136539410102,20848.78054752388,355103.59691136563
0.9772499669667776,-0.024298256975151804,237.5340077826881,-203.21504083310688,4682.142142498852,7400.149620991478,-19237.4433166893,26888.49771731686,-3711.336530079013,-13916.30997239444,260751.4233286964
0.9782385615477232,-0.024206605423836597,236.23491772635072,-181.74757506131922,4703.29339100367,7270.235090654956,-19782.94911666649,29639.12842872512,-5376.105770534628,-36607.05617818494,216810.46661669007
0.9792281561995598,-0.024114339663623256,234.8015293504835,-165.0360970422732,4707.018680004309,7135.221076881384,-19964.875943698433,30542.781708549872,-6436.52428881881,-47843.046258659706,171486.7845413321
0.9802187519339685,-0.024025139770585922,233.01512574276995,-121.9058133753965,4734.508944386103,6929.853668665568,-19917.91265130037,32447.850729491412,-3859.9902537004373,-42911.14407049937,143679.0668755637
0.9812103497636523,-0.023933668930315625,231.54448340039025,-97.4761015214445,4730.428571796168,6766.133991804945,-19687.751941899518,32855.84209283949,-4062.568452389422,-30908.563740574682,121989.78687071055
0.9822029507023402,-0.023842537402357995,229.94642267316496,-70.00621019643046,4719.177520008199,6590.75648263223,-19303.93996550811,32251.976235280858,-442.78483340969046,-9058.774048424151,99850.77082195011
0.983196555764786,-0.02375072828070348,228.4938659893221,-45.009323153227285,4703.210677694646,6451.388977903492,-18867.48544415558,30731.141953144524,5425.075899785706,20005.816546464725,70724.51316609087
0.9841911659667696,-0.02365690467979922,227.24548764002853,-31.84993988373831,4665.642586558826,6336.4155081947065,-18299.621072080714,27482.32889833058,13729.945670290102,50730.924284766195,43837.51459837981
0.9851867823250992,-0.02356288382967898,226.00939730426026,-12.487929351072406,4623.697857254159,6218.026129876358,-17815.621606156375,23245.29306637029,34454.859860074175,80721.78726020175,15849.719114165871
0.9861834058576112,-0.023468716298325226,224.9133597077502,2.9819340940270056,4574.911838331325,6123.275832927479,-17354.361680150683,18938.725266071044,51299.48019614258,106332.12432877983,-12066.618497744874
0.9871810375831718,-0.023374020456465954,223.78766797424052,23.117177073812854,4518.500645438737,6001.523826464009,-16782.98624028145,13023.05710636223,79200.50759713673,130833.4930144412,-35560.95082718305
0.988179678521678,-0.023279718093030824,222.65431341328355,42.43032482922935,4452.680353812967,5883.09564596396,-16109.885681167532,7474.03145801594,103142.7564557771,148735.93744822795,-61996.52521866075
0.9891793296940583,-0.02318564038595636,221.655548387069,61.290285947752146,4382.684435763236,5765.439753173453,-15514.846775437574,2287.702012519637,117962.91438432486,142813.72855278535,-72513.03747402881
0.9901799921222743,-0.02309120068661193,220.57766350018375,85.95016451218116,4295.34079266724,5626.258179302857,-14712.600528207966,-3767.2894594839568,139752.2025107161,134723.55484825908,-79966.56145582828
0.9911816668293207,-0.02299907216346487,219.45039801791629,91.83504610390682,4173.314345038399,5499.592903029931,-13404.14434319605,-5409.674814680524,115309.53833334209,97165.25261580748,-90622.65172161358
0.9921843548392281,-0.022905967667528285,218.14717858648774,104.40903613495738,4015.0686315786966,5339.375621156938,-11685.54011250493,-6939.26712241665,87041.16520677171,50869.048555933,-95419.16943625496
0.9931880571770624,-0.02281226484247809,216.54720794572455,128.01696935273276,3804.693671595265,5151.643302494704,-9262.230177698997,-9163.754961533921,64527.34539835154,10260.837960700821,-104978.51872679108
0.9941927748689262,-0.02271507180420564,214.3260717796775,161.63603400870528,3504.008706165441,4877.138897174365,-6076.828072539016,-8921.42884484772,25184.736223614826,-42252.71380629272,-110235.14218488509
0.9951985089419609,-0.022612615039549522,211.25386101537686,227.62754362855895,3084.930711976966,4476.678333403158,-1540.596209045393,-9792.737028899992,890.9663671678048,-84204.83464242498,-114592.22024012035
0.9962052604243465,-0.02250387699743289,207.1855006341319,316.7462547325657,2548.157413905556,3936.256906192364,3959.108253048047,-9228.47405666404,-23003.637516627503,-122138.84216652726,-116010.24027896953
0.9972130303453031,-0.022381478578334703,201.19899878324728,456.7554408327949,1778.7191747861498,3107.1247063434294,11262.848617479205,-6597.527230276429,-40618.035162634755,-150123.68049913595,-107264.20859237316
0.9982218197350919,-0.022252039925552212,194.23237702316817,627.5887376964162,898.9631139385799,2131.6513300269335,19488.09813200567,-4231.394438844305,-42663.549077431984,-166929.54946682064,-92371.58773618857
0.9992316296250167,-0.022104382240886664,184.8824963972374,848.6499144644633,-196.2844087000154,799.684019696413,28811.49127694541,1545.2620831203587,-30767.363501935793,-170035.85863232517,-52462.13436185989
1.000242461047424,-0.021950200320665587,174.65470830816142,1088.103457197403,-1378.3087923673302,-661.712906340875,38790.442019313195,8194.197184559138,-13558.901868750798,-165725.99311443174,-5230.460418476841
1.0012543150357052,-0.02179250944097296,164.07539640070055,1320.5971383202548,-2526.915935098414,-2165.2710237056845,48213.03158685629,15123.104292524178,15102.491685216804,-150257.18368526586,54664.33035228581
1.002267192624297,-0.021635220263144284,153.82885032284537,1528.9534567444737,-3591.747576570768,-3618.012862036731,56825.45605234043,21931.343262855316,48918.34314672761,-125136.8486812104,120218.35032355358
1.003281094848682,-0.021482141929118976,144.303025597185,1708.1640062036606,-4536.925877129558,-4957.7156497818705,64494.123439529234,27725.22580360286,86146.6024976962,-95205.85240726729,186585.00976182884
1.0042960227453908,-0.021349511030518596,138.58070194390476,1772.6142640009887,-5044.064095805065,-5762.433431457393,68879.82995682013,29865.24789398148,120380.85400739616,-58944.906721461484,238131.6559199544
1.0053119773520025,-0.021226958944122246,134.81574448438067,1786.451094290535,-5363.713185036051,-6305.143519482166,71888.79067070482,30507.70409339687,149350.36853880377,-22953.83336416079,278476.35074769973
1.006328959707146,-0.021125452880797885,135.13667315652287,1694.778032647165,-5293.254191558841,-6301.027255782144,72054.20030420255,27920.27437963163,167602.13785323477,12182.872224103867,295402.3110597031
1.0073469708505007,-0.021044433851318302,139.52921142823934,1513.6704359320026,-4886.668614366723,-5777.146169578092,69632.50698920157,23194.29493855937,170410.97471469594,41148.88708210582,285021.65681361075
1.0083660118227973,-0.02097450345257357,146.0284460783736,1285.5128811392499,-4297.7879262856695,-4979.6273150895995,65803.4647907383,17294.70310257855,165454.8085974217,66951.75616077587,260707.19079936875
1.00938608366582,-0.02092990118085473,156.88075278143086,976.328875894699,-3348.651729209116,-3624.0704319814326,58881.82238637661,10180.342153140644,140219.4674839538,80097.8418457116,204455.3152610808
1.0104071874224063,-0.020890879328544457,167.70240895848684,679.2613590507841,-2362.3747254294462,-2250.029546279531,51297.58721179373,3981.779168072201,112351.1218661917,87489.04272536888,146874.47399107247
1.0114293241364496,-0.020862310510208232,179.19790090898323,383.44773455916305,-1277.5642932580834,-765.1802611271839,42464.52380287694,-1324.5351256465474,78015.11681397926,86114.60431438009,82380.95143254903
1.0124524948528981,-0.02083636998071103,188.2233145043412,167.08332446526336,-279.5605297900394,468.1029958601246,33391.70145088112,-3316.7760655142547,47167.39984226066,74614.99226516693,31998.66260242702
1.0134767006177576,-0.020811066587017514,196.1853776163038,-15.518034470142664,676.8848669981496,1589.9129211793718,24281.278654713824,-3920.856230593812,17905.478906130764,58845.701772211556,-11992.099932659792
1.0145019424780926,-0.020782810116059713,200.50154471900987,-93.5567390481962,1456.3837893564084,2310.456086189334,15658.760288693093,-644.8379392011469,-3203.1297909017794,34100.98803873429,-32653.450584947415
1.0155282214820258,-0.020748504298631096,203.25753771453856,-132.66996382771404,2118.184961787772,2830.8214940050543,7895.467971618846,3792.0429989557592,-19573.754366129317,7761.96481115278,-41036.25618432408
1.016555538678741,-0.020709538152012995,204.24237602029245,-125.1112826993369,2666.5597586427707,3137.7290477125857,799.7331694121541,9765.45110307811,-31078.807959143203,-21286.69960000316,-36568.925771392496
1.017583895118483,-0.02065805485700341,204.03037194355358,-95.61354777513331,3047.739836920039,3238.7977740278416,-4493.544935928565,15885.987900258613,-37441.39433763822,-48957.16790985338,-18854.437890548703
